Year,"Fatal accidents, by sex","Fatal accidents, by economic activities","Non-fatal accidents, by sex","Non-fatal accidents, by economic activities",Value
2013,,Industry,,,
2013,,Mining and quarrying,,,
2013,,Manufacturing,,,
2013,,"Electricity, gas, steam and air conditioning supply",,,
2013,,"Water supply; sewerage, waste management and remediation activities",,,
2013,,Construction,,,
2013,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2013,,Transportation and storage,,,
2013,,Accommodation and food service activities,,,
2013,,Information and communication,,,
2013,,Financial and insurance activities,,,
2013,,Real estate activities,,,
2013,,"Professional, scientific and technical activities",,,
2013,,Administrative and support service activities,,,
2013,,Public administration and defence; compulsory social security,,,
2013,,Education,,,
2013,,Human health and social work activities,,,
2013,,"Arts, entertainment and recreation",,,
2013,,Other service activities,,,
2013,,,Total,,90.585
2013,,,Men,,158.4
2013,,,Women,,45.7
2013,,,,"Agriculture, forestry and fishing",
2013,,,,Industry,
2013,,,,Mining and quarrying,
2013,,,,Manufacturing,
2013,,,,"Electricity, gas, steam and air conditioning supply",
2013,,,,"Water supply; sewerage, waste management and remediation activities",
2013,,,,Construction,
2013,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2013,,,,Transportation and storage,
2013,,,,Accommodation and food service activities,
2013,,,,Information and communication,
2013,,,,Financial and insurance activities,
2013,,,,Real estate activities,
2013,,,,"Professional, scientific and technical activities",
2013,,,,Administrative and support service activities,
2013,,,,Public administration and defence; compulsory social security,
2013,,,,Education,
2013,,,,Human health and social work activities,
2013,,,,"Arts, entertainment and recreation",
2013,,,,Other service activities,
2014,,,,,
2014,Total,,,,5.9
2014,Men,,,,12.7
2014,Women,,,,0.3
2014,,"Agriculture, forestry and fishing",,,
2014,,Industry,,,
2014,,Mining and quarrying,,,
2014,,Manufacturing,,,
2014,,"Electricity, gas, steam and air conditioning supply",,,
2014,,"Water supply; sewerage, waste management and remediation activities",,,
2014,,Construction,,,
2014,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2014,,Transportation and storage,,,
2014,,Accommodation and food service activities,,,
2014,,Information and communication,,,
2014,,Financial and insurance activities,,,
2014,,Real estate activities,,,
2014,,"Professional, scientific and technical activities",,,
2014,,Administrative and support service activities,,,
2014,,Public administration and defence; compulsory social security,,,
2014,,Education,,,
2014,,Human health and social work activities,,,
2014,,"Arts, entertainment and recreation",,,
2014,,Other service activities,,,
2014,,,Total,,80.029
2014,,,Men,,150.9
2014,,,Women,,31.4
2014,,,,"Agriculture, forestry and fishing",
2014,,,,Industry,
2014,,,,Mining and quarrying,
2014,,,,Manufacturing,
2014,,,,"Electricity, gas, steam and air conditioning supply",
2014,,,,"Water supply; sewerage, waste management and remediation activities",
2014,,,,Construction,
2014,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2014,,,,Transportation and storage,
2014,,,,Accommodation and food service activities,
2014,,,,Information and communication,
2014,,,,Financial and insurance activities,
2014,,,,Real estate activities,
2014,,,,"Professional, scientific and technical activities",
2014,,,,Administrative and support service activities,
2014,,,,Public administration and defence; compulsory social security,
2014,,,,Education,
2014,,,,Human health and social work activities,
2014,,,,"Arts, entertainment and recreation",
2014,,,,Other service activities,
2015,,,,,
2015,Total,,,,5.7
2015,Men,,,,12
2015,Women,,,,0.6
2015,,"Agriculture, forestry and fishing",,,
2015,,Industry,,,
2015,,Mining and quarrying,,,
2015,,Manufacturing,,,
2015,,"Electricity, gas, steam and air conditioning supply",,,
2015,,"Water supply; sewerage, waste management and remediation activities",,,
2015,,Construction,,,
2015,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2015,,Transportation and storage,,,
2015,,Accommodation and food service activities,,,
2015,,Information and communication,,,
2015,,Financial and insurance activities,,,
2015,,Real estate activities,,,
2015,,"Professional, scientific and technical activities",,,
2015,,Administrative and support service activities,,,
2015,,Public administration and defence; compulsory social security,,,
2015,,Education,,,
2015,,Human health and social work activities,,,
2015,,"Arts, entertainment and recreation",,,
2015,,Other service activities,,,
2015,,,Total,,67.842
2015,,,Men,,121.6
2015,,,Women,,29.4
2015,,,,"Agriculture, forestry and fishing",
2015,,,,Industry,
2015,,,,Mining and quarrying,
2015,,,,Manufacturing,
2015,,,,"Electricity, gas, steam and air conditioning supply",
2015,,,,"Water supply; sewerage, waste management and remediation activities",
2015,,,,Construction,
2015,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2015,,,,Transportation and storage,
2015,,,,Accommodation and food service activities,
2015,,,,Information and communication,
2015,,,,Financial and insurance activities,
2015,,,,Real estate activities,
2015,,,,"Professional, scientific and technical activities",
2015,,,,Administrative and support service activities,
2015,,,,Public administration and defence; compulsory social security,
2015,,,,Education,
2015,,,,Human health and social work activities,
2015,,,,"Arts, entertainment and recreation",
2015,,,,Other service activities,
2016,,,,,
2016,Total,,,,4.9
2016,Men,,,,9
2016,Women,,,,1.3
2016,,"Agriculture, forestry and fishing",,,10.9
2016,,Industry,,,7.1
2016,,Mining and quarrying,,,0
2016,,Manufacturing,,,7.7
2016,,"Electricity, gas, steam and air conditioning supply",,,0
2016,,"Water supply; sewerage, waste management and remediation activities",,,13
2016,,Construction,,,14.5
2016,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,5.4
2016,,Transportation and storage,,,19.5
2016,,Accommodation and food service activities,,,0
2016,,Information and communication,,,0
2016,,Financial and insurance activities,,,0
2016,,Real estate activities,,,8.6
2016,,"Professional, scientific and technical activities",,,0
2016,,Administrative and support service activities,,,18.2
2016,,Public administration and defence; compulsory social security,,,0
2016,,Education,,,0
2016,,Human health and social work activities,,,0
2016,,"Arts, entertainment and recreation",,,0
2016,,Other service activities,,,0
2016,,,Total,,57.555
2016,,,Men,,74.088
2016,,,Women,,43.014
2016,,,,"Agriculture, forestry and fishing",76.24
2016,,,,Industry,97.913
2016,,,,Mining and quarrying,194.363
2016,,,,Manufacturing,86.95
2016,,,,"Electricity, gas, steam and air conditioning supply",134.904
2016,,,,"Water supply; sewerage, waste management and remediation activities",130.107
2016,,,,Construction,87.235
2016,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,42.445
2016,,,,Transportation and storage,89.308
2016,,,,Accommodation and food service activities,40.492
2016,,,,Information and communication,33.173
2016,,,,Financial and insurance activities,41.432
2016,,,,Real estate activities,34.406
2016,,,,"Professional, scientific and technical activities",12.889
2016,,,,Administrative and support service activities,136.252
2016,,,,Public administration and defence; compulsory social security,15.485
2016,,,,Education,19.1
2016,,,,Human health and social work activities,79.603
2016,,,,"Arts, entertainment and recreation",110.349
2016,,,,Other service activities,45.76
2017,,,,,
2017,Total,,,,6.8
2017,Men,,,,14.5
2017,Women,,,,0
2017,,"Agriculture, forestry and fishing",,,29.3
2017,,Industry,,,5.7
2017,,Mining and quarrying,,,197.9
2017,,Manufacturing,,,2.4
2017,,"Electricity, gas, steam and air conditioning supply",,,0
2017,,"Water supply; sewerage, waste management and remediation activities",,,0
2017,,Construction,,,36.7
2017,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,2.1
2017,,Transportation and storage,,,22.8
2017,,Accommodation and food service activities,,,0
2017,,Information and communication,,,0
2017,,Financial and insurance activities,,,0
2017,,Real estate activities,,,8.8
2017,,"Professional, scientific and technical activities",,,0
2017,,Administrative and support service activities,,,17.1
2017,,Public administration and defence; compulsory social security,,,4
2017,,Education,,,1
2017,,Human health and social work activities,,,0
2017,,"Arts, entertainment and recreation",,,0
2017,,Other service activities,,,0
2017,,,Total,,67.953
2017,,,Men,,94.521
2017,,,Women,,44.238
2017,,,,"Agriculture, forestry and fishing",61.165
2017,,,,Industry,89.952
2017,,,,Mining and quarrying,49.456
2017,,,,Manufacturing,89.266
2017,,,,"Electricity, gas, steam and air conditioning supply",73.193
2017,,,,"Water supply; sewerage, waste management and remediation activities",132.802
2017,,,,Construction,114.595
2017,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,49.788
2017,,,,Transportation and storage,74.165
2017,,,,Accommodation and food service activities,39.987
2017,,,,Information and communication,37.84
2017,,,,Financial and insurance activities,40.447
2017,,,,Real estate activities,53.032
2017,,,,"Professional, scientific and technical activities",25.905
2017,,,,Administrative and support service activities,85.419
2017,,,,Public administration and defence; compulsory social security,169.372
2017,,,,Education,22.591
2017,,,,Human health and social work activities,72.082
2017,,,,"Arts, entertainment and recreation",33.198
2017,,,,Other service activities,39.549
2018,,,,,
2018,Total,,,,6.2
2018,Men,,,,12.6
2018,Women,,,,0.3
2018,,"Agriculture, forestry and fishing",,,5.3
2018,,Industry,,,9.2
2018,,Mining and quarrying,,,0
2018,,Manufacturing,,,6.8
2018,,"Electricity, gas, steam and air conditioning supply",,,9.4
2018,,"Water supply; sewerage, waste management and remediation activities",,,39.6
2018,,Construction,,,25.6
2018,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,5.9
2018,,Transportation and storage,,,25.5
2018,,Accommodation and food service activities,,,0
2018,,Information and communication,,,0
2018,,Financial and insurance activities,,,0
2018,,Real estate activities,,,9.1
2018,,"Professional, scientific and technical activities",,,6.5
2018,,Administrative and support service activities,,,7.8
2018,,Public administration and defence; compulsory social security,,,2
2018,,Education,,,0
2018,,Human health and social work activities,,,0
2018,,"Arts, entertainment and recreation",,,8.2
2018,,Other service activities,,,0
2018,,,Total,,75.851
2018,,,Men,,104.532
2018,,,Women,,49.639
2018,,,,"Agriculture, forestry and fishing",42.457
2018,,,,Industry,108.455
2018,,,,Mining and quarrying,51.256
2018,,,,Manufacturing,106.029
2018,,,,"Electricity, gas, steam and air conditioning supply",122.33
2018,,,,"Water supply; sewerage, waste management and remediation activities",132.118
2018,,,,Construction,76.782
2018,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,55.06
2018,,,,Transportation and storage,84.904
2018,,,,Accommodation and food service activities,0
2018,,,,Information and communication,40.99
2018,,,,Financial and insurance activities,47.68
2018,,,,Real estate activities,27.34
2018,,,,"Professional, scientific and technical activities",38.9
2018,,,,Administrative and support service activities,70.594
2018,,,,Public administration and defence; compulsory social security,260.958
2018,,,,Education,13.553
2018,,,,Human health and social work activities,82.816
2018,,,,"Arts, entertainment and recreation",32.752
2018,,,,Other service activities,19.249
2019,,,,,
2019,Total,,,,5.8
2019,Men,,,,11.4
2019,Women,,,,0.6
2019,,"Agriculture, forestry and fishing",,,16.5
2019,,Industry,,,5.4
2019,,Mining and quarrying,,,48
2019,,Manufacturing,,,5.5
2019,,"Electricity, gas, steam and air conditioning supply",,,0
2019,,"Water supply; sewerage, waste management and remediation activities",,,0
2019,,Construction,,,44.7
2019,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,4.8
2019,,Transportation and storage,,,10.9
2019,,Accommodation and food service activities,,,0
2019,,Information and communication,,,4.6
2019,,Financial and insurance activities,,,0
2019,,Real estate activities,,,0
2019,,"Professional, scientific and technical activities",,,7.2
2019,,Administrative and support service activities,,,0
2019,,Public administration and defence; compulsory social security,,,0
2019,,Education,,,0
2019,,Human health and social work activities,,,3.3
2019,,"Arts, entertainment and recreation",,,0
2019,,Other service activities,,,0
2019,,,Total,,73.096
2019,,,Men,,105.6
2019,,,Women,,43.437
2019,,,,"Agriculture, forestry and fishing",65.863
2019,,,,Industry,94.292
2019,,,,Mining and quarrying,48.031
2019,,,,Manufacturing,78.117
2019,,,,"Electricity, gas, steam and air conditioning supply",170.681
2019,,,,"Water supply; sewerage, waste management and remediation activities",191.351
2019,,,,Construction,129.907
2019,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,61.329
2019,,,,Transportation and storage,98.439
2019,,,,Accommodation and food service activities,27.569
2019,,,,Information and communication,37.132
2019,,,,Financial and insurance activities,15.636
2019,,,,Real estate activities,41.684
2019,,,,"Professional, scientific and technical activities",14.354
2019,,,,Administrative and support service activities,90.491
2019,,,,Public administration and defence; compulsory social security,225.982
2019,,,,Education,11.518
2019,,,,Human health and social work activities,57.972
2019,,,,"Arts, entertainment and recreation",24.331
2019,,,,Other service activities,46.225
2020,,,,,
2020,Total,,,,5.2
2020,Men,,,,10.9
2020,Women,,,,0
2020,,"Agriculture, forestry and fishing",,,11.7
2020,,Industry,,,8.5
2020,,Mining and quarrying,,,0
2020,,Manufacturing,,,10.5
2020,,"Electricity, gas, steam and air conditioning supply",,,0
2020,,"Water supply; sewerage, waste management and remediation activities",,,0
2020,,Construction,,,12.4
2020,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,1
2020,,Transportation and storage,,,26.4
2020,,Accommodation and food service activities,,,0
2020,,Information and communication,,,4.2
2020,,Financial and insurance activities,,,0
2020,,Real estate activities,,,0
2020,,"Professional, scientific and technical activities",,,0
2020,,Administrative and support service activities,,,0
2020,,Public administration and defence; compulsory social security,,,6.1
2020,,Education,,,1.1
2020,,Human health and social work activities,,,0
2020,,"Arts, entertainment and recreation",,,0
2020,,Other service activities,,,0
2020,,,Total,,64.495
2020,,,Men,,92.128
2020,,,Women,,39.541
2020,,,,"Agriculture, forestry and fishing",32.151
2020,,,,Industry,96.213
2020,,,,Mining and quarrying,153.139
2020,,,,Manufacturing,90.886
2020,,,,"Electricity, gas, steam and air conditioning supply",47.742
2020,,,,"Water supply; sewerage, waste management and remediation activities",206.132
2020,,,,Construction,141.085
2020,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,48.359
2020,,,,Transportation and storage,70.326
2020,,,,Accommodation and food service activities,41.275
2020,,,,Information and communication,33.688
2020,,,,Financial and insurance activities,7.78
2020,,,,Real estate activities,17.029
2020,,,,"Professional, scientific and technical activities",15.312
2020,,,,Administrative and support service activities,169.981
2020,,,,Public administration and defence; compulsory social security,174.393
2020,,,,Education,19.251
2020,,,,Human health and social work activities,43.071
2020,,,,"Arts, entertainment and recreation",16.945
2020,,,,Other service activities,0
2021,,,,,
2021,Total,,,,4.8
2021,Men,,,,10.1
2021,Women,,,,0
2021,,"Agriculture, forestry and fishing",,,23.2
2021,,Industry,,,1.9
2021,,Mining and quarrying,,,0
2021,,Manufacturing,,,1.2
2021,,"Electricity, gas, steam and air conditioning supply",,,0
2021,,"Water supply; sewerage, waste management and remediation activities",,,12.5
2021,,Construction,,,27.2
2021,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,2.8
2021,,Transportation and storage,,,8.6
2021,,Accommodation and food service activities,,,0
2021,,Information and communication,,,0
2021,,Financial and insurance activities,,,0
2021,,Real estate activities,,,9.1
2021,,"Professional, scientific and technical activities",,,0
2021,,Administrative and support service activities,,,8
2021,,Public administration and defence; compulsory social security,,,6
2021,,Education,,,0
2021,,Human health and social work activities,,,0
2021,,"Arts, entertainment and recreation",,,8.5
2021,,Other service activities,,,16.9
2021,,,Total,,83.996
2021,,,Men,,111.929
2021,,,Women,,58.728
2021,,,,"Agriculture, forestry and fishing",46.412
2021,,,,Industry,133.464
2021,,,,Mining and quarrying,54.735
2021,,,,Manufacturing,127.701
2021,,,,"Electricity, gas, steam and air conditioning supply",153.462
2021,,,,"Water supply; sewerage, waste management and remediation activities",187.406
2021,,,,Construction,178.71
2021,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,72.482
2021,,,,Transportation and storage,122.833
2021,,,,Accommodation and food service activities,64.977
2021,,,,Information and communication,25.473
2021,,,,Financial and insurance activities,30.241
2021,,,,Real estate activities,90.621
2021,,,,"Professional, scientific and technical activities",44.89
2021,,,,Administrative and support service activities,96.595
2021,,,,Public administration and defence; compulsory social security,126.235
2021,,,,Education,27.886
2021,,,,Human health and social work activities,88.939
2021,,,,"Arts, entertainment and recreation",42.355
2021,,,,Other service activities,16.886
2022,,,,,
2022,Total,,,,4.8
2022,Men,,,,9.5
2022,Women,,,,0.6
2022,,"Agriculture, forestry and fishing",,,8.9
2022,,Industry,,,7.6
2022,,Mining and quarrying,,,56.6
2022,,Manufacturing,,,5.9
2022,,"Electricity, gas, steam and air conditioning supply",,,9.7
2022,,"Water supply; sewerage, waste management and remediation activities",,,12.7
2022,,Construction,,,28.9
2022,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,4.5
2022,,Transportation and storage,,,5.6
2022,,Accommodation and food service activities,,,0
2022,,Information and communication,,,0
2022,,Financial and insurance activities,,,0
2022,,Real estate activities,,,0
2022,,"Professional, scientific and technical activities",,,0
2022,,Administrative and support service activities,,,15.7
2022,,Public administration and defence; compulsory social security,,,4.1
2022,,Education,,,1.1
2022,,Human health and social work activities,,,0
2022,,"Arts, entertainment and recreation",,,0
2022,,Other service activities,,,0
2022,,,Total,,78.255
2022,,,Men,,110.459
2022,,,Women,,49.655
2022,,,,"Agriculture, forestry and fishing",62.005
2022,,,,Industry,113.738
2022,,,,Mining and quarrying,169.779
2022,,,,Manufacturing,108.63
2022,,,,"Electricity, gas, steam and air conditioning supply",145.971
2022,,,,"Water supply; sewerage, waste management and remediation activities",114.04
2022,,,,Construction,189.8
2022,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,65.932
2022,,,,Transportation and storage,118.187
2022,,,,Accommodation and food service activities,30.798
2022,,,,Information and communication,24.423
2022,,,,Financial and insurance activities,30.437
2022,,,,Real estate activities,56.481
2022,,,,"Professional, scientific and technical activities",23.204
2022,,,,Administrative and support service activities,47.181
2022,,,,Public administration and defence; compulsory social security,183.632
2022,,,,Education,26.109
2022,,,,Human health and social work activities,60.62
2022,,,,"Arts, entertainment and recreation",24.804
2022,,,,Other service activities,16.158
